,pageNumber,pageSize,previousPage,nextPage,pages,total,data,id,name,iso3,iso2,longitude,latitude
60,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 591, 'name': 'Panama', 'iso3': 'PAN', 'iso2': 'PA', 'longitude': -80.7821273803711, 'latitude': 8.537981033325195}",591,Panama,PAN,PA,-80.7821273803711,8.537981033325195
61,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 598, 'name': 'Papua New Guinea', 'iso3': 'PNG', 'iso2': 'PG', 'longitude': 143.95555114746094, 'latitude': -6.314992904663086}",598,Papua New Guinea,PNG,PG,143.95555114746094,-6.314992904663086
62,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 600, 'name': 'Paraguay', 'iso3': 'PRY', 'iso2': 'PY', 'longitude': -58.44383239746094, 'latitude': -23.442502975463867}",600,Paraguay,PRY,PY,-58.44383239746094,-23.442502975463867
63,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 604, 'name': 'Peru', 'iso3': 'PER', 'iso2': 'PE', 'longitude': -75.01515197753906, 'latitude': -9.189967155456545}",604,Peru,PER,PE,-75.01515197753906,-9.189967155456545
64,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 608, 'name': 'Philippines', 'iso3': 'PHL', 'iso2': 'PH', 'longitude': 121.77401733398438, 'latitude': 12.879720687866213}",608,Philippines,PHL,PH,121.77401733398438,12.879720687866213
65,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 616, 'name': 'Poland', 'iso3': 'POL', 'iso2': 'PL', 'longitude': 19.1451358795166, 'latitude': 51.919437408447266}",616,Poland,POL,PL,19.1451358795166,51.919437408447266
66,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 620, 'name': 'Portugal', 'iso3': 'PRT', 'iso2': 'PT', 'longitude': -8.224453926086426, 'latitude': 39.399871826171875}",620,Portugal,PRT,PT,-8.224453926086426,39.399871826171875
67,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 624, 'name': 'Guinea-Bissau', 'iso3': 'GNB', 'iso2': 'GW', 'longitude': -15.180413246154783, 'latitude': 11.803749084472656}",624,Guinea-Bissau,GNB,GW,-15.180413246154783,11.803749084472656
68,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 626, 'name': 'Timor-Leste', 'iso3': 'TLS', 'iso2': 'TL', 'longitude': 125.7275390625, 'latitude': -8.87421703338623}",626,Timor-Leste,TLS,TL,125.7275390625,-8.87421703338623
69,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 630, 'name': 'Puerto Rico', 'iso3': 'PRI', 'iso2': 'PR', 'longitude': -66.47373, 'latitude': 18.22964}",630,Puerto Rico,PRI,PR,-66.47373,18.22964
70,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 634, 'name': 'Qatar', 'iso3': 'QAT', 'iso2': 'QA', 'longitude': 51.183883666992195, 'latitude': 25.354825973510746}",634,Qatar,QAT,QA,51.183883666992195,25.354825973510746
